seed,event_id,class,split,clean_windows,s0_s6_rows,split_hash
42,CEVT_001,coal,test,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_002,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_003,coal,test,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_004,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_005,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_006,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_007,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_008,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_009,coal,test,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_010,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_011,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_012,coal,val,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_013,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_014,coal,test,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_015,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_016,coal,val,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_017,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_018,coal,val,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_019,coal,test,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_020,coal,test,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_021,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_022,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_023,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_024,coal,test,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_025,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_026,coal,val,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_027,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_028,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_029,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_030,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_031,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_032,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_033,coal,test,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_034,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_035,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_036,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_037,coal,train,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
42,CEVT_038,coal,val,18,126,59df1d0965ae364a8dc80887839a20be5f7a98764098a3afdeedc416721337d1
