protocol,variant,Avg7_or_AvgLONSO_acc_mean,acc_sd,acc_ci_low,acc_ci_high,S6_or_mixed_minus6_acc_mean,s6_sd,s6_ci_low,s6_ci_high,Avg7_or_AvgLONSO_f1_mean,f1_sd,f1_ci_low,f1_ci_high,S6_or_mixed_minus6_f1_mean,s6_f1_sd,s6_f1_ci_low,s6_f1_ci_high,n_seeds,CI_method
event_disjoint,PAC-only,90.67,0.8,89.68,91.66,87.33,1.49,85.48,89.18,90.67,0.82,89.66,91.68,87.37,1.69,85.27,89.47,5,t(4)=2.776
event_disjoint,GRL-only,92.48,1.14,91.06,93.89,89.33,1.49,87.48,91.18,92.6,1.13,91.2,94.0,89.68,1.36,87.99,91.36,5,t(4)=2.776
event_disjoint,PAC+GRL full,93.62,0.72,92.72,94.52,91.33,1.83,89.07,93.6,93.73,0.67,92.89,94.56,91.56,1.72,89.43,93.7,5,t(4)=2.776
event_disjoint,Shuffled roughness,84.29,1.61,82.28,86.29,77.33,2.79,73.87,80.8,84.44,1.54,82.52,86.35,77.82,2.49,74.73,80.91,5,t(4)=2.776
event_disjoint,Raw-roughness-only classifier,72.19,1.49,70.34,74.04,64.0,2.79,60.54,67.46,72.53,1.53,70.63,74.44,64.29,2.97,60.59,67.98,5,t(4)=2.776
event_disjoint,Supervised-contrastive control,91.05,0.4,90.55,91.54,87.33,1.49,85.48,89.18,91.16,0.35,90.73,91.6,87.7,1.43,85.92,89.47,5,t(4)=2.776
event_disjoint,Class-independent raw-to-latent consistency,87.33,1.24,85.79,88.87,81.33,1.83,79.07,83.6,87.52,1.15,86.09,88.94,81.69,1.63,79.66,83.72,5,t(4)=2.776
group_lonso,PAC-only,82.48,1.4,80.73,84.22,74.67,1.83,72.4,76.93,82.69,1.35,81.01,84.36,75.12,1.25,73.58,76.67,5,t(4)=2.776
group_lonso,GRL-only,80.1,1.14,78.68,81.51,71.33,1.83,69.07,73.6,80.28,0.92,79.13,81.42,71.33,1.88,68.99,73.67,5,t(4)=2.776
group_lonso,PAC+GRL full,86.1,1.48,84.25,87.94,80.0,2.36,77.07,82.93,86.23,1.5,84.37,88.1,80.14,2.54,76.99,83.29,5,t(4)=2.776
group_lonso,Shuffled roughness,78.67,1.4,76.92,80.41,70.0,2.36,67.07,72.93,78.9,1.61,76.9,80.89,70.14,3.44,65.87,74.41,5,t(4)=2.776
group_lonso,Raw-roughness-only classifier,68.0,1.23,66.47,69.53,59.33,1.49,57.48,61.18,68.33,1.1,66.97,69.7,59.52,1.0,58.28,60.76,5,t(4)=2.776
group_lonso,Supervised-contrastive control,84.0,1.41,82.25,85.75,76.67,2.36,73.74,79.59,84.21,1.42,82.45,85.97,77.05,2.06,74.5,79.61,5,t(4)=2.776
group_lonso,Class-independent raw-to-latent consistency,82.0,1.44,80.21,83.79,73.33,2.36,70.41,76.26,82.32,1.37,80.62,84.02,73.92,2.34,71.01,76.83,5,t(4)=2.776
heldout_overlay,PAC-only,88.56,0.84,87.51,89.6,84.0,1.49,82.15,85.85,88.63,0.9,87.51,89.75,84.02,1.48,82.19,85.86,5,t(4)=2.776
heldout_overlay,GRL-only,84.78,0.63,83.99,85.56,80.0,0.0,80.0,80.0,84.98,0.69,84.12,85.84,80.29,0.47,79.7,80.87,5,t(4)=2.776
heldout_overlay,PAC+GRL full,91.56,0.99,90.32,92.79,86.0,1.49,84.15,87.85,91.69,1.03,90.41,92.96,86.36,1.85,84.06,88.65,5,t(4)=2.776
heldout_overlay,Shuffled roughness,81.67,1.04,80.38,82.96,74.0,2.79,70.54,77.46,81.81,1.04,80.51,83.1,74.01,2.71,70.65,77.38,5,t(4)=2.776
heldout_overlay,Raw-roughness-only classifier,70.78,0.3,70.4,71.16,63.33,2.36,60.41,66.26,71.13,0.48,70.54,71.73,63.68,2.47,60.61,66.74,5,t(4)=2.776
heldout_overlay,Supervised-contrastive control,86.56,0.72,85.66,87.45,79.33,2.79,75.87,82.8,86.89,0.64,86.09,87.69,79.61,2.42,76.6,82.62,5,t(4)=2.776
heldout_overlay,Class-independent raw-to-latent consistency,83.89,0.68,83.04,84.73,76.0,2.79,72.54,79.46,84.23,0.73,83.32,85.13,76.64,2.44,73.61,79.67,5,t(4)=2.776
