model,seed,scenario,correct,n_test,acc,precision,recall,f1,group_overlap
RAAF-BiPAC-Mamba,42,S0,506,533,94.934334,95.051785,95.152364,95.099030,0
RAAF-BiPAC-Mamba,42,S1,503,533,94.371482,94.539478,94.580688,94.558358,0
RAAF-BiPAC-Mamba,42,S2,503,533,94.371482,94.539478,94.580688,94.558358,0
RAAF-BiPAC-Mamba,42,S3,498,533,93.433396,93.559480,93.658086,93.605788,0
RAAF-BiPAC-Mamba,42,S4,496,533,93.058161,93.217118,93.274734,93.242103,0
RAAF-BiPAC-Mamba,42,S5,492,533,92.307692,92.520890,92.514734,92.514603,0
RAAF-BiPAC-Mamba,42,S6,484,533,90.806754,91.144947,91.020456,91.075661,0
RAAF-BiPAC-Mamba,43,S0,507,533,95.121951,95.233580,95.314966,95.272913,0
RAAF-BiPAC-Mamba,43,S1,504,533,94.559099,94.721757,94.743290,94.732090,0
RAAF-BiPAC-Mamba,43,S2,505,533,94.746717,94.889901,94.931614,94.909022,0
RAAF-BiPAC-Mamba,43,S3,499,533,93.621013,93.788070,93.846410,93.813395,0
RAAF-BiPAC-Mamba,43,S4,497,533,93.245779,93.397130,93.437336,93.415528,0
RAAF-BiPAC-Mamba,43,S5,494,533,92.682927,92.870279,92.865660,92.864743,0
RAAF-BiPAC-Mamba,43,S6,485,533,90.994371,91.316326,91.208780,91.252914,0
RAAF-BiPAC-Mamba,44,S0,507,533,95.121951,95.233580,95.314966,95.272913,0
RAAF-BiPAC-Mamba,44,S1,505,533,94.746717,94.882110,94.964040,94.921721,0
RAAF-BiPAC-Mamba,44,S2,506,533,94.934334,95.051785,95.152364,95.099030,0
RAAF-BiPAC-Mamba,44,S3,500,533,93.808630,94.013501,94.009012,94.007991,0
RAAF-BiPAC-Mamba,44,S4,498,533,93.433396,93.559480,93.658086,93.605788,0
RAAF-BiPAC-Mamba,44,S5,495,533,92.870544,93.046707,93.086410,93.064863,0
RAAF-BiPAC-Mamba,44,S6,486,533,91.181989,91.492508,91.371382,91.424880,0
RAAF-BiPAC-Mamba,45,S0,508,533,95.309568,95.403022,95.503290,95.450096,0
RAAF-BiPAC-Mamba,45,S1,506,533,94.934334,95.051785,95.152364,95.099030,0
RAAF-BiPAC-Mamba,45,S2,507,533,95.121951,95.233580,95.314966,95.272913,0
RAAF-BiPAC-Mamba,45,S3,501,533,93.996248,94.189055,94.229762,94.207693,0
RAAF-BiPAC-Mamba,45,S4,500,533,93.808630,94.013501,94.009012,94.007991,0
RAAF-BiPAC-Mamba,45,S5,496,533,93.058161,93.217118,93.274734,93.242103,0
RAAF-BiPAC-Mamba,45,S6,487,533,91.369606,91.663680,91.559706,91.602014,0
RAAF-BiPAC-Mamba,46,S0,509,533,95.497186,95.585049,95.665891,95.624105,0
RAAF-BiPAC-Mamba,46,S1,507,533,95.121951,95.233580,95.314966,95.272913,0
RAAF-BiPAC-Mamba,46,S2,508,533,95.309568,95.403022,95.503290,95.450096,0
RAAF-BiPAC-Mamba,46,S3,502,533,94.183865,94.371092,94.392364,94.381298,0
RAAF-BiPAC-Mamba,46,S4,501,533,93.996248,94.193632,94.171614,94.181110,0
RAAF-BiPAC-Mamba,46,S5,498,533,93.433396,93.627075,93.625660,93.623108,0
RAAF-BiPAC-Mamba,46,S6,488,533,91.557223,91.834650,91.780456,91.801694,0
