seed,protocol,fold_or_condition,partition,class,n,raw_mean,raw_sd,raw_q25,raw_median,raw_q75,latent_mean,latent_sd,latent_q25,latent_median,latent_q75
42,event_disjoint,S0,test,coal,10,0.2954946712,0.0448372988,0.2650810887,0.2848828165,0.3211787470,0.2496671556,0.0243030735,0.2349308143,0.2455414718,0.2512153651
42,event_disjoint,S0,test,empty,9,0.3929682657,0.0386228179,0.3621498198,0.3947785501,0.4195579110,0.3646893367,0.0361495962,0.3320347736,0.3662262277,0.3891173042
42,event_disjoint,S0,test,gangue,11,0.7170304915,0.0668588520,0.6796681637,0.7081204642,0.7544913663,0.7866602259,0.0364036865,0.7796955559,0.7867589503,0.7970742292
42,event_disjoint,S0,train,coal,34,0.2975911058,0.0330665597,0.2725430555,0.2976481815,0.3195057818,0.2590808761,0.0354947891,0.2335154997,0.2594208211,0.2831704186
42,event_disjoint,S0,train,empty,29,0.3529100053,0.0527067837,0.3210668423,0.3645584852,0.3923080429,0.3463573085,0.0399174001,0.3302775154,0.3442500647,0.3719927657
42,event_disjoint,S0,train,gangue,40,0.7363340419,0.0543494102,0.6986499366,0.7415874280,0.7652053511,0.7918950077,0.0349153775,0.7727375375,0.7915097053,0.8106751151
42,event_disjoint,S1,test,coal,10,0.3274198843,0.0438685600,0.3028573512,0.3252466374,0.3485094097,0.2858568898,0.0285214110,0.2760542267,0.2936771440,0.2992638695
42,event_disjoint,S1,test,empty,9,0.3871141880,0.0402220368,0.3656270967,0.3750087523,0.4216486565,0.3543684775,0.0296386113,0.3490014628,0.3509478281,0.3726428288
42,event_disjoint,S1,test,gangue,11,0.7453092860,0.0378566291,0.7168362139,0.7478478491,0.7638057974,0.7922909463,0.0403596283,0.7626604690,0.7900699474,0.8223803502
42,event_disjoint,S1,train,coal,34,0.3403706084,0.0485195266,0.3067967776,0.3425138350,0.3722697153,0.2895198004,0.0297430966,0.2644257083,0.2854341516,0.3063533363
42,event_disjoint,S1,train,empty,29,0.3602855065,0.0433891416,0.3304975664,0.3639748877,0.3850854104,0.3655094486,0.0421430146,0.3240264976,0.3639753996,0.3921929671
42,event_disjoint,S1,train,gangue,40,0.7314468169,0.0440350112,0.7089261769,0.7319343015,0.7576693418,0.7874135790,0.0429172742,0.7640851799,0.7797591337,0.8141264761
42,event_disjoint,S2,test,coal,10,0.3522364260,0.0317408199,0.3324525469,0.3611011407,0.3745887005,0.3240444735,0.0333003457,0.3179452280,0.3255713140,0.3436625435
42,event_disjoint,S2,test,empty,9,0.3711507619,0.0270842303,0.3608572836,0.3683348937,0.3854128753,0.3267546044,0.0378912863,0.3070345861,0.3241089380,0.3561877205
42,event_disjoint,S2,test,gangue,11,0.6965460282,0.0507659305,0.6781870596,0.6943205393,0.7175076501,0.7415369072,0.0188579226,0.7315617449,0.7442079680,0.7527384935
42,event_disjoint,S2,train,coal,34,0.3047854281,0.0397815419,0.2769232890,0.3057716765,0.3308891749,0.2639292435,0.0361738469,0.2369534783,0.2620957833,0.2861745585
42,event_disjoint,S2,train,empty,29,0.3549007614,0.0409200834,0.3251755452,0.3647643544,0.3884094376,0.3460511273,0.0378748602,0.3237078319,0.3468666092,0.3728577121
42,event_disjoint,S2,train,gangue,40,0.7410333772,0.0443273724,0.7129647493,0.7348062943,0.7642038191,0.8053080918,0.0388197627,0.7766329701,0.8073532506,0.8376778066
42,event_disjoint,S3,test,coal,10,0.3514320083,0.0231881867,0.3371835938,0.3468923620,0.3676493687,0.2989329191,0.0379105323,0.2699679966,0.2992311344,0.3300011495
42,event_disjoint,S3,test,empty,9,0.3298479819,0.0167720641,0.3207921004,0.3295941224,0.3429224843,0.3362521114,0.0330194476,0.3044925442,0.3411752960,0.3562805533
42,event_disjoint,S3,test,gangue,11,0.7935452589,0.0689348759,0.7605234348,0.7911315988,0.8367928028,0.8103589771,0.0492480757,0.7742817652,0.8053018129,0.8380202010
42,event_disjoint,S3,train,coal,34,0.3132744241,0.0381749261,0.2942233062,0.3141665930,0.3359255575,0.2919079176,0.0279633974,0.2736842039,0.2890864400,0.3145039234
42,event_disjoint,S3,train,empty,29,0.3598115287,0.0552364977,0.3203034626,0.3519799107,0.4059813998,0.3542853054,0.0520306280,0.3168468426,0.3599327951,0.3925373991
42,event_disjoint,S3,train,gangue,40,0.7561311485,0.0402127946,0.7250091718,0.7580999032,0.7841212858,0.7891969864,0.0372133373,0.7642756113,0.7852352765,0.8200101077
42,event_disjoint,S4,test,coal,10,0.3096377452,0.0499417599,0.2757553555,0.2982708323,0.3599595368,0.2932374305,0.0300335875,0.2785668111,0.2986934552,0.3013990981
42,event_disjoint,S4,test,empty,9,0.3348127117,0.0565900600,0.3086660630,0.3338583529,0.3421289208,0.3938578109,0.0406814584,0.3734884445,0.3917991027,0.4202485272
42,event_disjoint,S4,test,gangue,11,0.7282321690,0.0547035134,0.6834205624,0.7168195545,0.7797622801,0.7724674675,0.0331410959,0.7520838948,0.7705848828,0.7980779057
42,event_disjoint,S4,train,coal,34,0.3248099829,0.0443680050,0.2945063446,0.3283331719,0.3535112645,0.2818215172,0.0271306447,0.2642217122,0.2852368465,0.2990642013
42,event_disjoint,S4,train,empty,29,0.3847570575,0.0417584521,0.3545099064,0.3841338163,0.4141305402,0.3535270320,0.0316581094,0.3375250396,0.3554901209,0.3751938351
42,event_disjoint,S4,train,gangue,40,0.7330755653,0.0415335939,0.7014366857,0.7379766282,0.7651699643,0.7976542591,0.0406329482,0.7658408431,0.7962222764,0.8229733377
42,event_disjoint,S5,test,coal,10,0.3156202710,0.0351356815,0.3123632938,0.3207040672,0.3391113708,0.2384957370,0.0244688997,0.2191887187,0.2340733760,0.2534471347
42,event_disjoint,S5,test,empty,9,0.3629623414,0.0354467872,0.3318780908,0.3665479320,0.3834490563,0.3491337535,0.0265349199,0.3259973941,0.3480836559,0.3603999639
