seed,protocol,fold_or_condition,threshold_source_partition,k,low_group_definition,gangue_group_definition,train_low_mean,train_low_var,train_gangue_mean,train_gangue_var,tau_low,tau_gangue,collapse_flag
42,event_disjoint,S0,train,0.5000000000,coal+empty,gangue,0.2992557418,0.0032604135,0.7918950077,0.0011886065,0.3278057571,0.7746569212,0
42,event_disjoint,S1,train,0.5000000000,coal+empty,gangue,0.3244991623,0.0026872510,0.7874135790,0.0017958451,0.3504185132,0.7662248727,0
42,event_disjoint,S2,train,0.5000000000,coal+empty,gangue,0.3017313805,0.0029983684,0.8053080918,0.0014692996,0.3291100602,0.7861423698,0
42,event_disjoint,S3,train,0.5000000000,coal+empty,gangue,0.3206213183,0.0025793951,0.7891969864,0.0013502117,0.3460151911,0.7708243729,0
42,event_disjoint,S4,train,0.5000000000,coal+empty,gangue,0.3148288177,0.0021083232,0.7976542591,0.0016097606,0.3377870581,0.7775933481,0
42,event_disjoint,S5,train,0.5000000000,coal+empty,gangue,0.2974694665,0.0020515434,0.7960247187,0.0021404093,0.3201164497,0.7728924398,0
42,event_disjoint,S6,train,0.5000000000,coal+empty,gangue,0.2995870988,0.0018855589,0.7818967574,0.0017437761,0.3212986101,0.7610174848,0
42,group_lonso,S0,train,0.5000000000,coal+empty,gangue,0.3134045796,0.0019346590,0.7976556318,0.0021840962,0.3353969590,0.7742884743,0
42,group_lonso,S1,train,0.5000000000,coal+empty,gangue,0.2997159405,0.0018812939,0.8091055850,0.0016115053,0.3214028830,0.7890338057,0
42,group_lonso,S2,train,0.5000000000,coal+empty,gangue,0.3002791315,0.0023440424,0.7945544760,0.0014847129,0.3244867873,0.7752884898,0
42,group_lonso,S3,train,0.5000000000,coal+empty,gangue,0.3111264892,0.0020147118,0.7763102975,0.0017382490,0.3335692598,0.7554641408,0
42,group_lonso,S4,train,0.5000000000,coal+empty,gangue,0.2983629772,0.0024138910,0.7821281905,0.0012414724,0.3229286596,0.7645109234,0
42,group_lonso,S5,train,0.5000000000,coal+empty,gangue,0.3152089722,0.0022044760,0.7752737833,0.0011777410,0.3386848960,0.7581146676,0
42,group_lonso,S6,train,0.5000000000,coal+empty,gangue,0.3085994784,0.0016895188,0.7880008870,0.0014700052,0.3291513567,0.7688305636,0
42,heldout_overlay,hydraulic_support_0dB,train,0.5000000000,coal+empty,gangue,0.2981247080,0.0020419049,0.8076472430,0.0015234539,0.3207184289,0.7881315192,0
42,heldout_overlay,hydraulic_support_-3dB,train,0.5000000000,coal+empty,gangue,0.2983462929,0.0021369486,0.7794894245,0.0016265861,0.3214598636,0.7593239460,0
42,heldout_overlay,hydraulic_support_-6dB,train,0.5000000000,coal+empty,gangue,0.3117729277,0.0021005623,0.7922934074,0.0013300418,0.3346888736,0.7740585383,0
42,heldout_overlay,mixed_equipment_0dB,train,0.5000000000,coal+empty,gangue,0.3032716433,0.0023244369,0.8085506768,0.0009038737,0.3273778505,0.7935184306,0
42,heldout_overlay,mixed_equipment_-3dB,train,0.5000000000,coal+empty,gangue,0.3059436079,0.0017972599,0.8056828459,0.0012939649,0.3271406590,0.7876969841,0
42,heldout_overlay,mixed_equipment_-6dB,train,0.5000000000,coal+empty,gangue,0.2988179548,0.0023717657,0.7783535155,0.0012828371,0.3231683434,0.7604451578,0
43,event_disjoint,S0,train,0.5000000000,coal+empty,gangue,0.2980100962,0.0030569042,0.8022999954,0.0010987986,0.3256547349,0.7857259298,0
43,event_disjoint,S1,train,0.5000000000,coal+empty,gangue,0.3212990528,0.0026805680,0.7864590715,0.0018432988,0.3471861538,0.7649922436,0
43,event_disjoint,S2,train,0.5000000000,coal+empty,gangue,0.3011157833,0.0021618078,0.8005903671,0.0013161673,0.3243634058,0.7824508570,0
43,event_disjoint,S3,train,0.5000000000,coal+empty,gangue,0.3203777960,0.0028833745,0.8018677974,0.0015340377,0.3472263272,0.7822844007,0
43,event_disjoint,S4,train,0.5000000000,coal+empty,gangue,0.3125333239,0.0018532523,0.7770598967,0.0014634835,0.3340580324,0.7579321453,0
43,event_disjoint,S5,train,0.5000000000,coal+empty,gangue,0.2958310476,0.0020062866,0.7911703676,0.0017483738,0.3182268430,0.7702635876,0
